,patent_id,assignee_sequence,organization,name_first,name_last,assignee_type,title,patent_date,assignee_country,assignee_city,assignee_state
495,10336041,0,Dow Global Technologies LLC,,,2,Coextruded multilayer film with propylene-based polymer and ethylene-based polymer,2019-07-02,US,Midland,MI
496,5249729,0,Yoshida Kogyo K. K.,,,3,Method for forming hook engaging part in thermal part of material for vertical suspension type surface treatment,1993-10-05,JP,Tokyo,
497,10890456,1,KIA MOTORS CORPORATION,,,3,Vehicle and method of providing route guidance using public transportation,2021-01-12,KR,Seoul,
498,7502105,0,General Electric Company,,,2,Apparatus and method for producing a calibrated Raman spectrum,2009-03-10,US,Schenectady,NY
499,7294018,0,Yazaki Corporation,,,3,Board connector,2007-11-13,JP,Tokyo,
500,4630933,0,"Matsushita Electric Works, Ltd.",,,3,Electrically operated clock and shaver combination,1986-12-23,JP,,
501,4612608,0,Westfalische Metall Industrie KG Hueck & Co.,,,3,Dimmed vehicle headlight,1986-09-16,DE,Lippstadt,
502,8359527,0,Marvell International Ltd.,,,3,Averaging signals to improve signal interpretation,2013-01-22,BM,Hamilton,
503,7258014,0,Weston Aerospace Limited,,,3,Device for measuring pressure,2007-08-21,GB,"Farnborough, Hampshire",
504,7357708,0,Zippy Technology Corp.,,,3,Anchor structure for fans,2008-04-15,TW,"Hsin-Tien, Taipei Hsien",
505,5701911,0,"Medtronic, Inc.",,,2,Guide wire extension docking system,1997-12-30,US,Minneapolis,MN
506,7830204,0,Renesas Electronics Corporation,,,3,Semiconductor integrated circuit device,2010-11-09,JP,Kanagawa,
507,9235714,0,"Amazon Technologies, Inc.",,,2,Preventing persistent storage of cryptographic information using signaling,2016-01-12,US,Seattle,WA
508,5033030,0,The United States of America as represented by the Secretary of the Navy,,,6,Turbulence velocimetry technique,1991-07-16,US,Washington,DC
509,9898635,0,"Hand Held Products, Inc.",,,2,Point-of-sale (POS) code sensing apparatus,2018-02-20,US,Fort Mill,SC
510,9892447,0,eBay Inc.,,,2,Performing image searches in a network-based publication system,2018-02-13,US,San Jose,CA
511,8442278,0,Honeywell International Inc.,,,2,Covariance based face association,2013-05-14,US,Morristown,NJ
512,4129571,0,"E. R. Squibb & Sons, Inc.",,,2,Amino acid derivatives,1978-12-12,US,Princeton,NJ
513,5060530,0,Evacuo Enterprises Limited,,,3,Holder for molten metal sampling device,1991-10-29,CA,Ontario,
514,4853187,0,Mobil Oil Corporation,,,2,Apparatus to reduce NO.sub.x emissions from a fluid catalytic cracking unit,1989-08-01,US,New York,NY
515,10716254,0,LG ELECTRONICS INC.,,,3,Lawn mower robot,2020-07-21,KR,Seoul,
516,8225709,0,Rancilio Macchine per Caffe' S.p.A.,,,3,"Infusion unit for infusion preparation, infusion machine, device for ejection of exhausted infusion powder and method for making the same",2012-07-24,IT,Milan,
517,11076944,0,TC1 LLC,,,2,Methods and systems for irrigating and capturing particulates during heart pump implantation,2021-08-03,US,Saint Paul,MN
518,9529169,0,AFL Telecommunications LLC,,,2,Logging cable,2016-12-27,US,Duncan,SC
519,11595942,0,Apple Inc.,,,2,Communication coordination and collision mitigation for multi-subscriber identity module devices,2023-02-28,US,Cupertino,CA
520,9236224,0,CANON KABUSHIKI KAISHA,,,3,Drawing apparatus and method of manufacturing article,2016-01-12,JP,,
521,7894443,0,Nokia Corporation,,,3,Radio link control unacknowledged mode header optimization,2011-02-22,FI,Espoo,
522,11296597,0,Apple Inc.,,,2,Switched-capacitor regulators with output transient compensation,2022-04-05,US,Cupertino,CA
523,10576291,0,Manicka Institute LLC,,,2,Subcutaneous device,2020-03-03,US,Woodbury,MN
524,5838116,0,"JRS Technology, Inc.",,,2,Fluorescent light ballast with information transmission circuitry,1998-11-17,US,Endicott,NY
525,10882921,0,"GENENTECH, INC.",,,2,Host cell comprising nucleic acids encoding bispecific antibodies binding to beta-klotho and fibroblast growth factor receptor 1 and antibody production,2021-01-05,US,South San Francisco,CA
526,10800808,0,Merck Millipore Ltd.,,,3,"Chromatography membranes, devices containing them, and methods of use thereof",2020-10-13,IE,Carrigtwohill,
527,7791017,0,Schlumberger Technology Corporation,,,2,Method to simultaneously determine pore hydrocarbon density and water saturation from pulsed neutron measurements,2010-09-07,US,Cambridge,MA
528,5204775,0,"TT&B, Inc.",,,2,Device for magnifying indicia printed on a container,1993-04-20,US,Clinton,CT
529,9851201,0,"CiDRA CORPORATE SERVICES, INC.",,,2,Method and apparatus for using cepstrum and wavelet based algorithms for wall thickness measurement,2017-12-26,US,Wallingford,CT
530,6887935,0,"GE Betz, Inc.",,,2,Modified polymeric flocculants with improved performance characteristics,2005-05-03,US,Trevose,PA
531,10654000,0,"Fenwal, Inc.",,,2,"Cell processing system and method with centralized data management, monitoring and/or control",2020-05-19,US,Lake Zurich,IL
532,10658012,0,"OVONYX MEMORY TECHNOLOGY, LLC",,,2,Apparatus and methods to provide power management for memory devices,2020-05-19,US,Alexandria,VA
533,4172790,0,Mitsubishi Jukogyo Kabushiki Kaisha,,,3,Diaphragm-containing type filter press,1979-10-30,JP,Tokyo,
534,8591244,0,"PPC Broadband, Inc.",,,2,Cable connector,2013-11-26,US,East Syracuse,NY
535,D579734,0,Oneida Ltd.,,,2,Spoon,2008-11-04,US,Oneida,NY
536,9612148,0,Xerox Corporation,,,2,Sensor detecting multiple weights of multiple items,2017-04-04,US,Norwalk,CT
537,5084910,0,Dow Corning Corporation,,,2,X-ray diffractometer sample holder,1992-01-28,US,Midland,MT
538,4373107,0,"Ube Industries, Ltd.",,,3,Process for preparing N-alkyl-alkylene-diamines,1983-02-08,JP,Ube,
539,5289774,0,Baldwin-Gegenheimer GmbH,,,3,Sheet-cleaning apparatus,1994-03-01,DE,Friedberg,
540,9672442,0,LTU TECHNOLOGIES,,,3,Method and a device for detecting differences between two digital images,2017-06-06,FR,Paris,
541,10754626,0,Shopify Inc.,,,3,Visual and code views in a process workflow user interface,2020-08-25,CA,Ottawa,
542,9267531,0,HERAKLES,,,3,Assembly providing a connection that is self tightening with temperature,2016-02-23,FR,Le Haillan,
543,9605032,0,Research Development Foundation,,,2,Immunoreactive glycoprotein GP19 Ehrlichia canis,2017-03-28,US,Carson City,NV
544,10164037,0,"TAIWAN SEMICONDUCTOR MANUFACTURING CO., LTD.",,,3,Semiconductor device structure and method for forming the same,2018-12-25,TW,Hsinchu,
545,7864092,0,"Integrated Device Technology, Inc.",,,2,Thermo-decoder circuit,2011-01-04,US,San Jose,CA
546,D600310,0,Magpul Industries Corp.,,,2,Hand grip for a firearm,2009-09-15,US,Erie,CO
547,8244651,0,Google Inc.,,,2,Suggesting training examples,2012-08-14,US,Mountain View,CA
548,9772472,0,"LARGAN PRECISION CO., LTD.",,,3,Optical imaging lens assembly,2017-09-26,TW,Taichung,
549,10398672,0,Whitehead Institute for Biomedical Research,,,2,Methods and compositions for targeting cancer stem cells,2019-09-03,US,Cambridge,MA
550,9314757,0,SECO/WARWICK S.A.,,,3,Method and a device for generating a carburizing gas mixture,2016-04-19,PL,Swiebodzin,
551,7585287,0,"Smiths Medical MD, Inc.",,,2,Device and method for insertion of a cannula of an infusion device,2009-09-08,US,St. Paul,MN
552,4725471,0,Carry-Space Leichtbauelemente GmbH,,,3,Sheet-like composite element for construction purposes,1988-02-16,US,Dusseldorf,
553,6593090,0,"Integrated Nano-Technologies, LLC",,,2,High resolution DNA detection methods and devices,2003-07-15,US,Rochester,NY
554,10254909,0,"Disney Enterprises, Inc.",,,2,System and method for providing a user interface for media navigation by attribute compass,2019-04-09,US,Burbank,CA
555,11247702,0,"HITACHI ASTEMO, LTD.",,,3,Vehicle control device and electronic control system,2022-02-15,JP,Hitachinaka,
556,D634234,0,Akillis,,,3,Jewelry,2011-03-15,FR,Onnaing,
557,10017330,0,"Intelligrated Headquarters, LLC",,,2,Gapping systems and methods,2018-07-10,US,Mason,OH
558,D965111,0,Graff Faucets,,,2,Faucet,2022-09-27,US,Milwaukee,WI
559,6284516,1,"Shin-Etsu Chemical. Co., Ltd.",,,3,DNA segments and methods for increasing polysaccharide production,2001-09-04,JP,Tokyo,
